date,season,month,team,opponent,home_away,runs_for,runs_against,result,win,loss,draw,run_diff,stadium,game_id,source_url
2024-06-07,2024,6,KIA,두산,away,5,6,L,0,1,0,-1,잠실,20240607HTOB0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240607&gameId=20240607HTOB0
2024-06-07,2024,6,삼성,키움,away,5,7,L,0,1,0,-2,고척,20240607SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240607&gameId=20240607SSWO0
2024-06-08,2024,6,KIA,두산,away,8,9,L,0,1,0,-1,잠실,20240608HTOB0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240608&gameId=20240608HTOB0
2024-06-08,2024,6,삼성,키움,away,3,10,L,0,1,0,-7,고척,20240608SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240608&gameId=20240608SSWO0
2024-06-09,2024,6,KIA,두산,away,8,2,W,1,0,0,6,잠실,20240609HTOB0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240609&gameId=20240609HTOB0
2024-06-09,2024,6,삼성,키움,away,7,1,W,1,0,0,6,고척,20240609SSWO0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240609&gameId=20240609SSWO0
2024-06-11,2024,6,KIA,SSG,away,6,7,L,0,1,0,-1,문학,20240611HTSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240611&gameId=20240611HTSK0
2024-06-11,2024,6,삼성,LG,home,6,4,W,1,0,0,2,대구,20240611LGSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240611&gameId=20240611LGSS0
2024-06-12,2024,6,KIA,SSG,away,13,7,W,1,0,0,6,문학,20240612HTSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240612&gameId=20240612HTSK0
2024-06-12,2024,6,삼성,LG,home,5,4,W,1,0,0,1,대구,20240612LGSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240612&gameId=20240612LGSS0
2024-06-13,2024,6,KIA,SSG,away,1,7,L,0,1,0,-6,문학,20240613HTSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240613&gameId=20240613HTSK0
2024-06-13,2024,6,삼성,LG,home,6,3,W,1,0,0,3,대구,20240613LGSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240613&gameId=20240613LGSS0
2024-06-14,2024,6,KIA,KT,away,11,1,W,1,0,0,10,수원,20240614HTKT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240614&gameId=20240614HTKT0
2024-06-14,2024,6,삼성,NC,away,7,4,W,1,0,0,3,창원,20240614SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240614&gameId=20240614SSNC0
2024-06-15,2024,6,KIA,KT,away,2,1,W,1,0,0,1,수원,20240615HTKT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240615&gameId=20240615HTKT0
2024-06-15,2024,6,삼성,NC,away,4,6,L,0,1,0,-2,창원,20240615SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240615&gameId=20240615SSNC0
2024-06-16,2024,6,KIA,KT,away,3,1,W,1,0,0,2,수원,20240616HTKT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240616&gameId=20240616HTKT0
2024-06-16,2024,6,삼성,NC,away,4,5,L,0,1,0,-1,창원,20240616SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240616&gameId=20240616SSNC0
2024-06-18,2024,6,KIA,LG,home,11,4,W,1,0,0,7,광주,20240618LGHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240618&gameId=20240618LGHT0
2024-06-18,2024,6,삼성,SSG,home,3,8,L,0,1,0,-5,대구,20240618SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240618&gameId=20240618SKSS0
2024-06-19,2024,6,KIA,LG,home,5,7,L,0,1,0,-2,광주,20240619LGHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240619&gameId=20240619LGHT0
2024-06-19,2024,6,삼성,SSG,home,13,2,W,1,0,0,11,대구,20240619SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240619&gameId=20240619SKSS0
2024-06-20,2024,6,KIA,LG,home,6,5,W,1,0,0,1,광주,20240620LGHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240620&gameId=20240620LGHT0
2024-06-20,2024,6,삼성,SSG,home,4,0,W,1,0,0,4,대구,20240620SKSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240620&gameId=20240620SKSS0
2024-06-21,2024,6,KIA,한화,home,8,3,W,1,0,0,5,광주,20240621HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240621&gameId=20240621HHHT0
2024-06-21,2024,6,삼성,두산,home,7,4,W,1,0,0,3,대구,20240621OBSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240621&gameId=20240621OBSS0
2024-06-23,2024,6,KIA,한화,home,8,9,L,0,1,0,-1,광주,20240623HHHT1,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240623&gameId=20240623HHHT1
2024-06-23,2024,6,KIA,한화,home,4,1,W,1,0,0,3,광주,20240623HHHT2,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240623&gameId=20240623HHHT2
2024-06-23,2024,6,삼성,두산,home,7,4,W,1,0,0,3,대구,20240623OBSS1,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240623&gameId=20240623OBSS1
2024-06-23,2024,6,삼성,두산,home,10,4,W,1,0,0,6,대구,20240623OBSS2,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240623&gameId=20240623OBSS2
2024-06-25,2024,6,KIA,롯데,away,15,15,D,0,0,1,0,사직,20240625HTLT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240625&gameId=20240625HTLT0
