date,season,month,team,opponent,result,rolling_window_games,rolling_wins,rolling_losses,rolling_draws,rolling_win_rate
2023-09-15,2023,9,삼성,NC,L,10,4,6,0,0.400
2023-09-17,2023,9,삼성,롯데,L,10,4,6,0,0.400
2023-09-19,2023,9,삼성,KT,L,10,3,7,0,0.300
2023-09-21,2023,9,삼성,두산,L,10,3,7,0,0.300
2023-09-22,2023,9,삼성,두산,L,10,3,7,0,0.300
2023-09-27,2023,9,삼성,한화,W,10,3,7,0,0.300
2023-09-27,2023,9,삼성,한화,L,10,3,7,0,0.300
2023-09-28,2023,9,삼성,LG,W,10,4,6,0,0.400
2023-09-30,2023,9,삼성,NC,W,10,4,6,0,0.400
2023-10-01,2023,10,삼성,롯데,L,10,3,7,0,0.300
2023-10-02,2023,10,삼성,롯데,W,10,4,6,0,0.400
2023-10-02,2023,10,삼성,롯데,W,10,5,5,0,0.500
2023-10-03,2023,10,삼성,롯데,L,10,5,5,0,0.500
2023-10-04,2023,10,삼성,한화,L,10,5,5,0,0.500
2023-10-05,2023,10,삼성,한화,W,10,6,4,0,0.600
2023-10-06,2023,10,삼성,KT,W,10,6,4,0,0.600
2023-10-08,2023,10,삼성,KIA,L,10,6,4,0,0.600
2023-10-09,2023,10,삼성,KIA,L,10,5,5,0,0.500
2023-10-10,2023,10,삼성,키움,L,10,4,6,0,0.400
2023-10-14,2023,10,삼성,SSG,W,10,5,5,0,0.500
2023-10-15,2023,10,삼성,NC,L,10,4,6,0,0.400
2024-03-23,2024,3,KIA,키움,W,1,1,0,0,
2024-03-26,2024,3,KIA,롯데,W,2,2,0,0,
2024-03-27,2024,3,KIA,롯데,W,3,3,0,0,
2024-03-29,2024,3,KIA,두산,W,4,4,0,0,
2024-03-30,2024,3,KIA,두산,L,5,4,1,0,
2024-03-31,2024,3,KIA,두산,W,6,5,1,0,
2024-04-02,2024,4,KIA,KT,L,7,5,2,0,
2024-04-03,2024,4,KIA,KT,W,8,6,2,0,
2024-04-04,2024,4,KIA,KT,W,9,7,2,0,
2024-04-05,2024,4,KIA,삼성,W,10,8,2,0,0.800
2024-04-06,2024,4,KIA,삼성,L,10,7,3,0,0.700
2024-04-07,2024,4,KIA,삼성,L,10,6,4,0,0.600
2024-04-09,2024,4,KIA,LG,W,10,6,4,0,0.600
2024-04-10,2024,4,KIA,LG,W,10,6,4,0,0.600
2024-04-11,2024,4,KIA,LG,W,10,7,3,0,0.700
2024-04-12,2024,4,KIA,한화,W,10,7,3,0,0.700
2024-04-13,2024,4,KIA,한화,W,10,8,2,0,0.800
2024-04-14,2024,4,KIA,한화,W,10,8,2,0,0.800
2024-04-16,2024,4,KIA,SSG,L,10,7,3,0,0.700
2024-04-17,2024,4,KIA,SSG,W,10,7,3,0,0.700
2024-04-18,2024,4,KIA,SSG,L,10,7,3,0,0.700
2024-04-19,2024,4,KIA,NC,W,10,8,2,0,0.800
2024-04-20,2024,4,KIA,NC,W,10,8,2,0,0.800
2024-04-21,2024,4,KIA,NC,L,10,7,3,0,0.700
2024-04-23,2024,4,KIA,키움,W,10,7,3,0,0.700
2024-04-24,2024,4,KIA,키움,W,10,7,3,0,0.700
2024-04-25,2024,4,KIA,키움,W,10,7,3,0,0.700
2024-04-26,2024,4,KIA,LG,L,10,6,4,0,0.600
2024-04-27,2024,4,KIA,LG,L,10,6,4,0,0.600
2024-04-28,2024,4,KIA,LG,W,10,6,4,0,0.600
2024-04-30,2024,4,KIA,KT,L,10,6,4,0,0.600
2024-05-01,2024,5,KIA,KT,W,10,6,4,0,0.600
